Title,Authors,Year,Citation Count,Source URLs
Equilibrium in Competitive Insurance Markets: An Essay on the Economics of Imperfect Information,"['Michael Rothschild', 'Joseph E. Stiglitz']",1976,17,"['https://doi.org/10.7916/D8P277RB', 'https://doi.org/10.7916/D8T4443C']"
Uncertainty and the Welfare Economics of Medical Care,['Kenneth J. Arrow'],1963,14,"['https://europepmc.org/articles/pmc2585909', 'https://openlibrary.org/works/OL10551745W', 'https://doi.org/10.1215/03616878-26-5-851']"
Psychology and Economics: Evidence From the Field,['Stefano DellaVigna'],2007,12,"['https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1014797', 'https://doi.org/10.3386/w13420', 'https://doi.org/10.32609/0042-8736-2011-4-47-77', 'https://doi.org/10.32609/0042-8736-2011-6-82-106', 'https://doi.org/10.32609/0042-8736-2011-5-56-74', 'http://www.nber.org/papers/w13420.pdf', 'https://econpapers.repec.org/paper/nbrnberwo/13420.htm']"
Some Simple Economics of Mandated Benefits,['Lawrence H. Summers'],1989,11,['https://EconPapers.repec.org/RePEc:aea:aecrev:v:79:y:1989:i:2:p:177-83']
Psychology and Economics,['Matthew Rabin'],1997,9,"['http://kie.vse.cz/wp-content/uploads/Rabin-1998.pdf', 'https://econpapers.repec.org/RePEc:ucb:calbwp:97-251']"
Thirty Years of Prospect Theory in Economics: A Review and Assessment,['Nicholas C. Barberis'],2013,9,"['https://doi.org/10.3386/w18621', 'http://www.nber.org/papers/w18621.pdf', 'https://doi.org/10.1257/jep.27.1.173']"
Foundations for Financial Economics,['Chi-Fu Huang'],1988,7,"['https://doi.org/10.2307/2328606', 'https://openlibrary.org/works/OL3900439W']"
The Economics of Resources or the Resources of Economics,['Robert M. Solow'],1974,7,"['https://doi.org/10.1080/19390450802504048', 'https://doi.org/10.1057/9780230523210_13']"
Reflections on the Economics of Climate Change,['William D. Nordhaus'],1993,7,['https://doi.org/10.1257/jep.7.4.11']
The Economics of Wagering Markets,['Raymond D. Sauer'],1998,7,['http://g.espncdn.com/s/betting/economics.pdf?addata=2014=bettingpapers_Sauer']
Political Economics,"['Torsten Persson', 'Guido Tabellini']",2000,6,"['https://openlibrary.org/works/OL16928185W', 'https://doi.org/10.2307/1061733', 'https://EconPapers.repec.org/RePEc:mtp:titles:0262661314', 'https://ecsocman.hse.ru/text/19170166/']"
Natural and Quasi-Experiments in Economics,['Bruce D. Meyer'],1995,6,"['http://www.nber.org/papers/t0170.pdf', 'https://doi.org/10.3386/t0170']"
Analytical Development Economics,['Kaushik Basu'],1997,6,"['https://openlibrary.org/works/OL720941W', 'https://ideas.repec.org/b/mtp/titles/0262523442.html', 'https://doi.org/10.1016/s0898-1221(97)90237-6']"
Incorporating Fairness Into Game Theory and Economics,['Matthew Rabin'],1993,6,"['http://www.dklevine.com/archive/refs4511.pdf', 'https://EconPapers.repec.org/RePEc:ucb:calbwp:92-199']"
"Natural ""Natural Experiments"" in Economics","['Mark R. Rosenzweig', 'Kenneth I. Wolpin']",2000,6,['https://doi.org/10.1257/jel.38.4.827']
The Economics of Exchange Rates,['Mark P. Taylor'],1995,6,
Urban Sprawl: Lessons From Urban Economics,['Jan K. Brueckner'],2001,6,"['http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.951.4636', 'https://doi.org/10.1177/016001700761012710']"
The Economics of Lending With Joint Liability: Theory and Practice,"['Maitreesh Ghatak', 'Timothy W. Guinnane']",1999,6,"['https://doi.org/10.1016/s0304-3878(99)00041-3', 'https://EconPapers.repec.org/RePEc:kud:kuiedp:9816']"
Maps of Bounded Rationality: Psychology for Behavioral Economics,['Daniel Kahneman'],2003,5,"['https://www.alice.id.tue.nl/references/kahnemann-2003.pdf', 'http://kie.vse.cz/wp-content/uploads/Kahneman-2003.pdf', 'https://ideas.repec.org/p/ris/nobelp/2002_004.html', 'https://doi.org/10.1257/000282803322655392', 'https://econpapers.repec.org/RePEc:ris:nobelp:2002_004']"
"The New Development Economics: We Shall Experiment, but How Shall We Learn?",['Dani Rodrik'],2008,5,"['https://openlibrary.org/works/OL37238951W', 'https://research.hks.harvard.edu/publications/workingpapers/citation.aspx?PubId=5974&type=WPN', 'https://econpapers.repec.org/paper/eclharjfk/rwp08-055.htm']"
The Behavioralist Goes to School: Leveraging Behavioral Economics to Improve Educational Performance,"['Steven D. Levitt', 'John A. List', 'Susanne Neckermann', 'Sally Sadoff']",2012,5,"['http://www.nber.org/papers/w18165.pdf', 'https://eric.ed.gov/?id=ED533103', 'https://doi.org/10.3386/w18165']"
Behavioral Economics and Psychology of Incentives,['Emir Kamenica'],2012,5,['https://doi.org/10.1146/annurev-economics-080511-110909']
"Asset-Price ""Bubbles"" and Monetary Policy: Remarks Before the New York Chapter of the National Association for Business Economics, New York, New York",['Ben Bernanke'],2002,5,['https://fraser.stlouisfed.org/files/docs/historical/bernanke/bernanke_20021015.pdf']
"Argentina's Avoidable Crisis: Bad Luck, Bad Economics, Bad Politics, Bad Advice",['Andrew Powell'],2002,5,['https://doi.org/10.1353/btf.2003.0010']
Transaction Cost Economics,['Oliver E. Williamson'],2010,4,"['https://doi.org/10.1093/oso/9780195078244.003.0004', 'https://openlibrary.org/works/OL27978471W', 'https://doi.org/10.1257/aer.100.3.673', 'https://doi.org/10.1007/0-387-25092-1_4', 'https://openlibrary.org/works/OL3477528W', 'https://ideas.repec.org/h/elg/eechap/13188_1.html', 'https://doi.org/10.1007/978-3-540-69305-5_4', 'https://doi.org/10.4337/9781848449282.00010', 'https://doi.org/10.4337/9781849806909.00007', 'https://doi.org/10.4135/9781483346595.n291', 'https://doi.org/10.1111/j.1468-0270.2008.00838.x', 'https://doi.org/10.1016/0167-2681(87)90038-2', 'https://doi.org/10.1093/oso/9780198774358.003.0007', 'https://econpapers.repec.org/paper/zbwifwedp/5517.htm', 'https://EconPapers.repec.org/RePEc:elg:eechap:4136_2', 'https://doi.org/10.1086/466942', 'https://openlibrary.org/works/OL23573338W', 'http://hdl.handle.net/10419/17926', 'https://doi.org/10.1016/j.jretai.2010.07.005', 'https://doi.org/10.1016/j.jretai.2010.07.006']"
The Economics of Exhaustible Resources,['Harold Hotelling'],1991,4,"['https://doi.org/10.1016/s0092-8240(05)80050-3', 'https://doi.org/10.1007/bf02464433', 'https://doi.org/10.1057/9780230523210_12', 'https://doi.org/10.1086/254195', 'https://doi.org/10.1007/978-1-4613-8905-7_5']"
"A Review of ""The Stern Review on the Economics of Climate Change",['William D. Nordhaus'],2007,4,
The Economics of Superstars,['Sherwin Rosen'],1983,4,"['https://EconPapers.repec.org/RePEc:aea:aecrev:v:73:y:1983:i:3:p:460-62', 'https://doi.org/10.2307/j.ctv1kz4h99.12']"
The Economics of Immigration,['George J. Borjas'],1994,4,['https://doi.org/10.4324/9781315054193-1']
A Perspective on Psychology and Economics,['Matthew Rabin'],2002,4,"['https://escholarship.org/uc/item/4z78n1r9', 'https://econpapers.repec.org/RePEc:wpa:wuwpgt:0303003', 'https://www.escholarship.org/uc/item/2wr3z049']"
The Economics of HIV/AIDS in Low-Income Countries: The Case for Prevention,['David Canning'],2006,4,"['https://doi.org/10.1257/jep.20.3.121', 'https://econpapers.repec.org/RePEc:gdm:wpaper:1806']"
Applying Insights From Behavioral Economics to Policy Design,['Brigitte C. Madrian'],2014,4,"['https://ojs.unbc.ca/index.php/design/article/download/1480/1222', 'https://EconPapers.repec.org/RePEc:nbr:nberwo:20318', 'https://doi.org/10.1146/annurev-economics-080213-041033', 'https://doi.org/10.3386/w20318']"
"The Economics of Modern Manufacturing: Technology, Strategy, and Organization","['Paul Milgrom', 'John Roberts']",1990,4,"['https://ideas.repec.org/a/aea/aecrev/v85y1995i4p997-99.html', 'https://econpapers.repec.org/article/aeaaecrev/v_3a80_3ay_3a1990_3ai_3a3_3ap_3a511-28.htm']"
Some Economics of Global Warming,['Thomas C. Schelling'],1992,4,['https://econpapers.repec.org/article/aeaaecrev/v_3a82_3ay_3a1992_3ai_3a1_3ap_3a1-14.htm']
Three Basic Postulates for Applied Welfare Economics: An Interpretive Essay,['Arnold C. Harberger'],1971,4,['http://qed.econ.queensu.ca/faculty/kuog/references/D2+Harberger_basic_postulates.pdf']
